source_id,study_id,title,year,doi,pmid,pmcid,source_path_or_url,content_level,source_type,access_date,extraction_method,notes
SRC_41655051,STU_41655051,"The fNIRS Landscape of ADHD: Device Specifications, Neural Markers, and AI Classification.",2026,10.1111/nyas.70209,41655051,,../PDF2MD0708/41655051.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_41747346,STU_41747346,Near-infrared spectroscopy (NIRS) during and after cardiopulmonary resuscitation: A systematic review and meta-analysis.,2026,10.1016/j.aucc.2026.101534,41747346,,../PDF2MD0708/41747346.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_41853070,STU_41853070,Toward a visualized classifier for depression: characterization of hemodynamic patterns using time-domain fNIRS.,2026,10.3389/fpsyt.2026.1724011,41853070,PMC12992268,../PDF2MD0708/41853070.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_41935973,STU_41935973,Predictive neuroimaging biomarkers of major depressive disorder treatment response: An umbrella review.,2026,10.1111/pcn.70053,41935973,,../PDF2MD0708/41935973.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_BUILTIN,builtin,fnirs-flow bundled MethodAtom definitions,,,,,fnirs_flow/registry/methodatom_lib/method_atoms.csv,full_text,project_definition,2026-08-27,project_maintained_definition,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_NIRS_SPM_USER_GUIDE_V4,builtin,"NIRS-SPM User Guide, Version 4",,,,,atom_evidence_links.csv#NIRS_SPM_UsersGuide_v4_spatial_registration,sectional_full_text,software_user_guide,2026-08-27,local_evidence_record,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_PMC10010439,STU_PMC10010439,"Interdisciplinary views of fNIRS: Current advancements, equity challenges, and an agenda for future needs of a diverse fNIRS research community.",2023,10.3389/fnint.2023.1059679,36922983,PMC10010439,../organized/html/PMC10010439.html,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_PMC10014824,STU_PMC10014824,Experiment protocols for brain-body imaging of locomotion: A systematic review.,2023,10.3389/fnins.2023.1051500,36937690,PMC10014824,outputs/organized/html/PMC10014824.html,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_PMC10017489,STU_PMC10017489,Associations between neurological examination at term-equivalent age and cerebral hemodynamics and oxygen metabolism in infants born preterm.,2023,10.3389/fnins.2023.1105638,36937667,PMC10017489,../organized/html/PMC10017489.html,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_PMC10017540,STU_PMC10017540,Hotspots and trends in fNIRS disease research: A bibliometric analysis.,2023,10.3389/fnins.2023.1097002,36937686,PMC10017540,../organized/html/PMC10017540.html,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
